name,position,team,rank,adp
QB Example 1,QB,NA,1,1
QB Example 2,QB,NA,2,2
QB Example 3,QB,NA,3,3
QB Example 4,QB,NA,4,4
QB Example 5,QB,NA,5,5
QB Example 6,QB,NA,6,6
QB Example 7,QB,NA,7,7
QB Example 8,QB,NA,8,8
QB Example 9,QB,NA,9,9
QB Example 10,QB,NA,10,10
QB Example 11,QB,NA,11,11
QB Example 12,QB,NA,12,12
QB Example 13,QB,NA,13,13
QB Example 14,QB,NA,14,14
QB Example 15,QB,NA,15,15
RB Example 1,RB,NA,16,16
RB Example 2,RB,NA,17,17
RB Example 3,RB,NA,18,18
RB Example 4,RB,NA,19,19
RB Example 5,RB,NA,20,20
RB Example 6,RB,NA,21,21
RB Example 7,RB,NA,22,22
RB Example 8,RB,NA,23,23
RB Example 9,RB,NA,24,24
RB Example 10,RB,NA,25,25
RB Example 11,RB,NA,26,26
RB Example 12,RB,NA,27,27
RB Example 13,RB,NA,28,28
RB Example 14,RB,NA,29,29
RB Example 15,RB,NA,30,30
RB Example 16,RB,NA,31,31
RB Example 17,RB,NA,32,32
RB Example 18,RB,NA,33,33
RB Example 19,RB,NA,34,34
RB Example 20,RB,NA,35,35
RB Example 21,RB,NA,36,36
RB Example 22,RB,NA,37,37
RB Example 23,RB,NA,38,38
RB Example 24,RB,NA,39,39
RB Example 25,RB,NA,40,40
RB Example 26,RB,NA,41,41
RB Example 27,RB,NA,42,42
RB Example 28,RB,NA,43,43
RB Example 29,RB,NA,44,44
RB Example 30,RB,NA,45,45
RB Example 31,RB,NA,46,46
RB Example 32,RB,NA,47,47
RB Example 33,RB,NA,48,48
RB Example 34,RB,NA,49,49
RB Example 35,RB,NA,50,50
RB Example 36,RB,NA,51,51
RB Example 37,RB,NA,52,52
RB Example 38,RB,NA,53,53
RB Example 39,RB,NA,54,54
RB Example 40,RB,NA,55,55
WR Example 1,WR,NA,56,56
WR Example 2,WR,NA,57,57
WR Example 3,WR,NA,58,58
WR Example 4,WR,NA,59,59
WR Example 5,WR,NA,60,60
WR Example 6,WR,NA,61,61
WR Example 7,WR,NA,62,62
WR Example 8,WR,NA,63,63
WR Example 9,WR,NA,64,64
WR Example 10,WR,NA,65,65
WR Example 11,WR,NA,66,66
WR Example 12,WR,NA,67,67
WR Example 13,WR,NA,68,68
WR Example 14,WR,NA,69,69
WR Example 15,WR,NA,70,70
WR Example 16,WR,NA,71,71
WR Example 17,WR,NA,72,72
WR Example 18,WR,NA,73,73
WR Example 19,WR,NA,74,74
WR Example 20,WR,NA,75,75
WR Example 21,WR,NA,76,76
WR Example 22,WR,NA,77,77
WR Example 23,WR,NA,78,78
WR Example 24,WR,NA,79,79
WR Example 25,WR,NA,80,80
WR Example 26,WR,NA,81,81
WR Example 27,WR,NA,82,82
WR Example 28,WR,NA,83,83
WR Example 29,WR,NA,84,84
WR Example 30,WR,NA,85,85
WR Example 31,WR,NA,86,86
WR Example 32,WR,NA,87,87
WR Example 33,WR,NA,88,88
WR Example 34,WR,NA,89,89
WR Example 35,WR,NA,90,90
WR Example 36,WR,NA,91,91
WR Example 37,WR,NA,92,92
WR Example 38,WR,NA,93,93
WR Example 39,WR,NA,94,94
WR Example 40,WR,NA,95,95
WR Example 41,WR,NA,96,96
WR Example 42,WR,NA,97,97
WR Example 43,WR,NA,98,98
WR Example 44,WR,NA,99,99
WR Example 45,WR,NA,100,100
TE Example 1,TE,NA,101,101
TE Example 2,TE,NA,102,102
TE Example 3,TE,NA,103,103
TE Example 4,TE,NA,104,104
TE Example 5,TE,NA,105,105
TE Example 6,TE,NA,106,106
TE Example 7,TE,NA,107,107
TE Example 8,TE,NA,108,108
TE Example 9,TE,NA,109,109
TE Example 10,TE,NA,110,110
TE Example 11,TE,NA,111,111
TE Example 12,TE,NA,112,112
TE Example 13,TE,NA,113,113
TE Example 14,TE,NA,114,114
TE Example 15,TE,NA,115,115
DEF Example 1,DEF,NA,116,116
DEF Example 2,DEF,NA,117,117
DEF Example 3,DEF,NA,118,118
DEF Example 4,DEF,NA,119,119
DEF Example 5,DEF,NA,120,120
DEF Example 6,DEF,NA,121,121
DEF Example 7,DEF,NA,122,122
DEF Example 8,DEF,NA,123,123
DEF Example 9,DEF,NA,124,124
DEF Example 10,DEF,NA,125,125
DEF Example 11,DEF,NA,126,126
DEF Example 12,DEF,NA,127,127
K Example 1,K,NA,128,128
K Example 2,K,NA,129,129
K Example 3,K,NA,130,130
K Example 4,K,NA,131,131
K Example 5,K,NA,132,132
K Example 6,K,NA,133,133
K Example 7,K,NA,134,134
K Example 8,K,NA,135,135
K Example 9,K,NA,136,136
K Example 10,K,NA,137,137
K Example 11,K,NA,138,138
K Example 12,K,NA,139,139
